Agency Name,Address,City,State,Zip Code,Phone Number,Fax,Region Covered,Assisted Living Program 1,Assisted Living Program 2,Assisted Living Program  2E ,Assisted Living Program 3,Vision Rehabilitation,Orientation Mobility ,Social Casework Level 1,Social Casework Level 2,Pre Vocational Young Adults ,Diagnostic Vocational Evaluation,Academic Instruction,Vocational Skills ,Work Readiness,Work Experience,Comprehensive Service Contract,Job Placement Service/DVE Contract,Location
"NYSARC, Inc. Chautauqua County Chapter",880 East Second Street,Jamestown,NY,14701,716-847-8400,716-852-6100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"880 East Second Street
Jamestown, NY 14701
(42.10504, -79.225137)"
Alphapointe,3611 14th Avenue,Brooklyn,NY,11218-3750,718-854-7300 ,718-854-2700??,"6,7,8",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"3611 14th Avenue
Brooklyn, NY 11218-3750
(40.640688, -73.98263)"
"Inter-Continental Management Systems, Inc.",543 Third Street,Albany,NY,12206,518-466-3169,518-449-1123,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"543 Third Street
Albany, NY 12206
(42.671159, -73.773523)"
Independent Living Center of the Hudson Valley,15-17 Third Street,Troy,NY,12180,518-274-0701,518-274-7944,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"15 17 Third Street
Troy, NY 12180
(42.731828, -73.690129)"
"FEDCAP Rehabilitation Services, Inc.","633 Third Avenue, 6th Floor",New York,NY,10017,212-727-4200,212-727-4374,"6,7,8",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,"633 Third Avenue
New York, NY 10017
(40.749778, -73.975181)"
Western New York Center for the Visually Impaired,3070 Transit Road,West Seneca,NY,14224,716-668-1166,716-668-1466,1,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,"3070 Transit Road
West Seneca, NY 14224
(42.85103, -78.696916)"
Research Foundation of CUNY-Baruch CCVIP,1 Bernard Baruch Way Box H-0648,New York,NY,10010-5585,646-312-1420,n/a,"6,7,8",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"1 Bernard Baruch Way
New York, NY 10010-5585
(40.74079, -73.983809)"
Thomas Reap PhD,"913 Old Liverpool Road, Suite J",Liverpool,NY,13688-5751,315-457-0030 ,1-800-513-9316,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"913 Old Liverpool Road
Liverpool, NY 13688-5751
(43.098367, -76.197934)"
Regional Center fro Independent Living,497 State Street,Rochester,NY,14608-1642,585-442-6470,585-271-8558,"1,2",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"497 State Street
Rochester, NY 14608-1642
(43.16365, -77.622117)"
Visions/Services for the Blind & Visually Impaired,"500 Greenwich Street,   3rd Floor",New York,NY,10013-1354,212-625-1616,212-219-4078,"6,7,8",Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,"500 Greenwich Street
New York, NY 10013-1354
(40.725605, -74.009154)"
"Challenge Industries, Inc",402 East State Street,Ithaca,NY,14850-4498,607-272-8990??,607-277-7865,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"402 East State Street
Ithaca, NY 14850-4498
(42.439371, -76.493132)"
Northeast Career Planning,339 Broadway,Menands,NY,12204,518-438-3445,518-453-9096,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"339 Broadway
Menands, NY 12204
(42.694599, -73.722372)"
"Education & Employment Consulting, Inc","566 Seventh Avenue,    Suite 603",New York,NY,10018,212-868-1854,212-868-1876,"6,7,8",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"566 Seventh Avenue
New York, NY 10018
(40.755072, -73.987665)"
Glens Falls Association f/t Blind,144 Ridge Street,Glens Falls,NY,12801,518-792-3421,518-792-3430,4,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,"144 Ridge Street
Glens Falls, NY 12801
(43.314547, -73.643625)"
"AIM, ILC",271 East First Street,Corning,NY,14830,607-962-8225,607-937-5125,"1,2",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,"271 East First Street
Corning, NY 14830
(42.139524, -77.043831)"
Goodwill Industries of Greater NY & Northern NJ,4-21 27th Avenue,Astoria,NY,11102,718-777-6357,718-371-7236,8,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"4 21 27th Avenue
Astoria, NY 11102
(40.784048, -73.917088)"
Helen Keller Services for the Blind,57 Willowby Street,Brooklyn,NY,11201,718-522-2122,718-935-9463,"6,7,8",Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,"57 Willowby Street
Brooklyn, NY 11201
(40.69953, -73.994783)"
Rockland County Association for the Learning Disabled,"2 Crosfield Avenue,  Suite 411",West Nyack,NY,10994,845-358-5700 x115,845-358-6119,5,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,"2 Crosfield Avenue
West Nyack, NY 10994
(41.092975, -73.977886)"
"United Cerebral Palsy Association of Greater Suffolk, Inc",250 Marcus Blvd,Hauppauge,NY,11788,631-232-0011,631-232-4422,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"250 Marcus Blvd
Hauppauge, NY 11788
(40.81836, -73.247722)"
Susan B. Todd,84 Copperfield Road,Rochester,NY,14615,585-621-5793,585-720-1301,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"84 Copperfield Road
Rochester, NY 14615
(43.229239, -77.668326)"
Yazira Herzog,48 Shrubbery Lane,Rochester,NY,14624,585-354-6316,n/a,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"48 Shrubbery Lane
Rochester, NY 14624
(43.102975, -77.757756)"
ABVI-Goodwill,422 South Clinton Avenue,Rochester,NY,14620,585-232-1111,585-232-8265,2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,"422 South Clinton Avenue
Rochester, NY 14620
(43.148512, -77.603994)"
